"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2023","241.60","240.05","243.95","235.75","14.75K","5.38%"
"09/24/2023","229.26","227.55","229.55","225.50","1.28K","1.96%"
"09/17/2023","224.85","217.80","227.40","217.00","2.79K","3.17%"
"09/10/2023","217.95","207.00","218.50","206.90","2.11K","5.29%"
"09/03/2023","207.00","197.45","214.45","196.50","2.13K","5.00%"
"08/27/2023","197.15","200.00","201.20","194.00","1.08K","-1.92%"
"08/20/2023","201.00","209.70","211.90","200.45","2.07K","-3.37%"
"08/13/2023","208.00","222.10","222.45","204.20","2.69K","-5.92%"
"08/06/2023","221.10","230.00","233.25","218.15","1.46K","-4.22%"
"07/30/2023","230.85","243.25","243.30","229.10","2.12K","-4.57%"
"07/23/2023","241.90","244.05","244.55","239.75","2.46K","-0.76%"
"07/16/2023","243.75","248.25","248.85","243.50","4.02K","-1.91%"
"07/09/2023","248.50","253.35","254.55","248.00","2.96K","-1.91%"
"07/02/2023","253.35","264.00","265.00","253.00","3.60K","-1.20%"
"06/25/2023","256.44","252.30","257.95","250.60","1.57K","2.15%"
"06/18/2023","251.05","249.05","253.00","247.10","3.65K","0.80%"
"06/11/2023","249.05","247.00","250.25","242.00","3.01K","1.18%"
"06/04/2023","246.15","235.90","247.45","235.90","2.43K","4.35%"
"05/28/2023","235.90","254.20","254.20","235.50","2.31K","-7.16%"
"05/21/2023","254.10","251.00","263.00","250.70","6.59K","1.30%"
"05/14/2023","250.85","262.15","265.90","248.10","11.04K","-4.35%"
"05/07/2023","262.25","265.45","268.55","262.00","8.64K","-1.13%"
"04/30/2023","265.25","264.00","266.80","260.90","6.12K","-4.81%"
"04/23/2023","278.65","275.05","279.80","275.05","1.58K","1.11%"
"04/16/2023","275.60","281.55","281.95","275.20","2.16K","-2.01%"
"04/09/2023","281.25","283.65","287.75","280.05","2.57K","-0.85%"
"04/02/2023","283.65","291.80","292.90","282.95","2.06K","-4.00%"
"03/26/2023","295.47","295.15","297.90","293.55","1.80K","0.28%"
"03/19/2023","294.65","283.80","295.95","282.60","7.02K","3.59%"
"03/12/2023","284.45","286.50","288.55","280.90","3.91K","-0.85%"
"03/05/2023","286.90","295.00","295.00","284.65","6.19K","-2.71%"
"02/26/2023","294.90","282.35","298.00","277.50","5.36K","4.35%"
"02/19/2023","282.60","302.05","302.05","281.55","4.17K","-6.21%"
"02/12/2023","301.30","301.70","302.70","299.05","5.09K","0.00%"
"02/05/2023","301.30","299.85","302.45","298.15","6.00K","0.50%"
"01/29/2023","299.80","288.40","300.20","287.30","5.61K","3.81%"
"01/22/2023","288.80","290.95","291.85","284.70","3.04K","-0.31%"
"01/15/2023","289.70","279.60","293.70","277.00","7.22K","3.63%"
"01/08/2023","279.55","285.05","286.65","278.85","3.32K","-1.55%"
"01/01/2023","283.95","290.30","291.45","282.50","3.85K","-2.06%"
"12/25/2022","289.92","291.50","293.00","288.50","1.52K","-0.47%"
"12/18/2022","291.30","292.95","296.00","290.00","4.78K","-0.48%"
"12/11/2022","292.70","288.85","293.50","288.50","7.25K","1.28%"
"12/04/2022","289.00","295.20","298.95","287.00","9.57K","-2.07%"
"11/27/2022","295.10","291.55","302.15","287.20","6.50K","1.13%"
"11/20/2022","291.80","290.50","292.50","288.55","3.42K","0.60%"
"11/13/2022","290.05","291.00","292.50","286.00","5.49K","0.05%"
"11/06/2022","289.90","290.50","290.65","286.35","7.15K","-0.50%"
"10/30/2022","291.35","292.55","293.10","280.20","4.27K","-0.48%"
"10/23/2022","292.75","286.55","294.80","286.00","5.38K","1.91%"
"10/16/2022","287.25","296.40","298.00","283.15","11.41K","-2.97%"
"10/09/2022","296.05","296.40","298.95","291.50","8.01K","0.07%"
"10/02/2022","295.85","299.80","301.05","294.10","10.01K","-2.47%"
"09/25/2022","303.33","302.20","304.60","301.00","2.79K","0.04%"
"09/18/2022","303.20","304.50","306.35","300.80","2.16K","-0.49%"
"09/11/2022","304.70","313.35","314.70","302.65","2.38K","-2.73%"
"09/04/2022","313.25","309.35","314.35","305.50","2.75K","1.10%"
"08/28/2022","309.85","308.25","314.50","304.05","2.45K","1.29%"
"08/21/2022","305.90","307.95","311.50","305.00","1.75K","-0.57%"
"08/14/2022","307.65","308.00","311.75","304.50","3.76K","-0.05%"
"08/07/2022","307.80","316.50","316.95","302.65","7.25K","-2.72%"
"07/31/2022","316.40","316.85","320.70","314.80","4.67K","-2.77%"
"07/24/2022","325.40","320.45","324.50","319.60","2.42K","1.77%"
"07/17/2022","319.75","320.00","324.80","319.00","3.75K","0.00%"
"07/10/2022","319.75","324.05","324.50","317.05","4.31K","-1.33%"
"07/03/2022","324.05","331.00","331.00","322.40","8.01K","-2.00%"
"06/26/2022","330.65","324.45","332.75","322.65","2.40K","1.64%"
"06/19/2022","325.30","323.95","325.85","322.45","2.60K","0.56%"
"06/12/2022","323.50","322.80","325.95","319.05","2.04K","0.23%"
"06/05/2022","322.75","317.65","323.00","316.05","3.21K","1.61%"
"05/29/2022","317.65","313.30","318.40","309.45","2.78K","1.39%"
"05/22/2022","313.30","312.85","315.65","306.50","4.03K","0.10%"
"05/15/2022","313.00","316.85","323.75","312.10","5.60K","-1.17%"
"05/08/2022","316.70","322.60","323.40","315.80","5.71K","-1.98%"
"05/01/2022","323.10","323.50","326.50","320.00","5.56K","-3.07%"
"04/24/2022","333.33","329.45","333.15","327.60","1.14K","1.38%"
"04/17/2022","328.80","327.00","329.65","325.05","1.10K","0.49%"
"04/10/2022","327.20","321.70","330.95","321.70","1.39K","1.47%"
"04/03/2022","322.45","326.80","328.50","321.20","3.09K","-1.20%"
"03/27/2022","326.35","344.05","346.00","321.60","4.28K","-5.28%"
